--CRC------GameID--

8A8FC183 SLKA-25133
8AD46A5B SLPS-25478
8AE499F2 SLPS-20023
8B8B97C8 SLPS-25735
8C104E5A SLPS-20251
8D1AFF7F SLPS-25427
8DD94147 SLPS-20440
8EE57E45 SLPS-20222
9051D2DF SLPS-25744
90D2D375 SLPS-20280
913CF83B SLPS-25101
916B1D2E SLPS-25268
91A93F28 SLPS-20478
91C50B97 SLPS-25158
927D3EB4 SLPS-20380
930E07E3 SLPS-20052
93476F02 SLPS-25279
9370E436 SLPS-25531
937F9183 SLPS-25502
95A081A1 SLPS-25655
96F3F344 SLPS-20463
9883194E SLPS-25074
99336083 SLPS-25061
9AC21F92 SLPS-25763
9BD2779A SLPS-25155
9C2BA3F3 SLPS-20036
9C4A9CD2 SLPS-25703
9DA64F02 SLPS-25470
9E98B8AE SLPS-25798
9ED42B11 SLPS-20009
9EF8ED7A SLPS-25269
9F4E45A3 SLPS-20456
A04B52DB SLPS-25629
A18347E0 SLPS-20198
A1A9C393 SLPS-20027
A4C84DE7 SLPS-25077
A707236E SLPS-25641
A7110F33 SLPS-20178
A7E5CE23 SLPS-25710
A8700356 SLPS-20300
A87BCC9C SLPS-25554
A8A2A013 SLPS-20152
A90CD846 SLPS-25715
AA0D46D4 SLPS-25009
AA5EC3A3 SLPS-25586
AA75FE6A SLPS-20499
AB9E3E64 SLPS-25358
AD5C679D SLPS-20305
B0313B56 SLPS-20185
B0918A18 SLPS-25549
B0E44B93 SLPS-25733
B1B6E33D SLPS-25784
B1DD47DA SLPS-25341
B282D5FD SLPS-25263
B292D14D SLPS-25303
B2F0A8D2 SLPS-25302
B33016F7 SLPS-25272
B3999B20 SLPS-25001
B4580F15 SLPS-25018
B476ED7A SLPS-25377
B643F02A SLPS-25636
B6AA81EE SLPS-25314
B6D4DABC SLPS-25228
B78086CD SLPS-25430
B937D335 SLPS-25010
B9D20D1D SLPS-20044
BB22866C SLPS-25307
BBDE6926 SLPS-25832
BD27FC43 SLPS-20135
BD533A18 SLPS-25374
BE3F85FF SLPS-20410
BE7343FD SLPS-25814
BFFC4507 SLPS-25426
C0659AD1 SLPS-25837
C0D585EF SLPS-25359
C0E909E9 SLPS-29004
C0F2492E SLPS-25159
C162A768 SLPS-25551
C390C1CF SLPS-20037
C3AC9115 SLPS-20012
C4C80532 SLPS-20167
C4D0FACC SLPS-25941
C725F411 SLPS-20172
C7568140 SLPS-25121
C77C957B SLPS-25604
C80DF46D SLPS-25734
C810CF06 SLPS-20464
C8BACD69 SLPS-25032
C8FC17B2 SLPS-20111
C988ECBB SLPS-25606
CB70C610 SLPS-20194
CBB87BF9 SLPS-25932
CC1E5592 SLPS-25585
CCF46486 SLPS-20398
CD62245A SLPS-25399
CED34955 SLPS-25600
CFC64C8D SLPS-25577
D00037C4 SLPS-20251
D00E1931 SLPS-25112
D0692603 SLPS-20070
D0D71384 SLPS-25855
D0E17D26 SLPS-25247
D13EAC09 SLPS-20391
D1AD86D6 SLPS-25329
D2F0DC73 SLPS-25421
D4ECB62E SLPS-25375
D5B63C1F SLPS-25651
D5FDEBDC SLPS-25881
D66FAB80 SLPS-25740
D69B3226 SLPS-25115
D7416293 SLPS-25027
D7BBDD65 SLPS-25069
D80F4965 SLPS-25729
D914D83F SLPS-25287
D95EACB9 SLPS-73415
D96D057A SLPS-25064
DA21B99E SLPS-20024
DBD0E172 SLPS-25275
DD02A95B SLPS-25912
DDFB18B0 SLPS-73418
DE737FE2 SLPS-25685
DE86254A SLPS-20144
DF3812A4 SLPS-25108
DFC8C288 SLPS-25094
E0347841 SLPS-25641
E060A6A4 SLPS-25904
E08D659B SLPS-20481
E0B85063 SLPS-20091
E1963055 SLPS-20234
E21D5682 SLPS-25627
E26A225F SLPS-20447
E26D2E7D SLPS-25044
E4614547 SLPS-20483
E4F97921 SLPS-25453
E523855D SLPS-25705
E52F8059 SLPS-25131
E560ED68 SLPS-25151
E6DA8929 SLPS-25479
E7D5481C SLPS-25560
E8E54032 SLPS-25096
E9BE4521 SLPS-25315
EC15F3BD SLPS-20173
ECD13E2B SLPS-20046
ECD5DB23 SLPS-25519
ECF38282 SLPS-25153
ED1F2721 SLPS-25035
EE84B8C5 SLPS-25829
EF7B9E4D SLPS-25386
EF8130D1 SLPS-20247
EFFEF138 SLPS-25701
F1FD3B5D SLPS-20441
F3717E4C SLPS-20205
F3A2AB09 SLPS-20474
F3D9DFBE SLPS-25768
F3F906DE SLPS-25007
F5DB01E6 SLPS-20092
F66528FF SLPS-20100
F68BB68D SLPS-25656
F6ACFAA1 SLPS-25498
F7671511 SLPS-73214
F7786EE4 SLPS-25854
F7D86DD0 SLPS-20214
F820AA03 SLPS-20130
F8664E20 SLPS-25578
F8CF8013 SLPS-25439
F9D5C6A6 SLPS-25028
FB5F5CA9 SLPS-25520
FC0F8A5B SLPS-20489
FC46EA61 SLPS-25510
FCABB636 SLPS-25364
FD405F7E SLPS-25530
FEBE1992 SLPS-25462
FEE46123 SLPS-20301
FEEF37A0 SLPS-25900
FEFCF9DE SLPS-25457
FFBE2593 SLPS-25440

9184AAF1 SCUS-97265
934F9081 SCUS-97367
96A608C5 SCUS-97181
9794BFEF SCUS-97130
9E95A8C0 SCUS-97172
A5C05C78 SCUS-97111
B10CBF67 SCUS-97409
B489E1CD SCUS-97146
B505A479 SCUS-97204
C77AF2CA SCUS-97198
CC08ACD4 SCUS-97466
CFCBDF0C SCUS-97164
D41EE761 SCUS-97233
D5605611 SCUS-97264
D6385328 SCUS-97399
D6C48447 SCUS-97355
D71B57F4 SCUS-97471
DBD09DD4 SCUS-97140
DD0513A4 SCUS-97326
E0426FC6 SCUS-97129
E157ACB8 SCUS-97123
E3981DBB SCUS-97198
EDE17E1B SCUS-97416
F78AE86C SCUS-97145

04F9D87F SCES-50006
059E5FAA SCES-51190
0BAA8DD8 SCES-50295
59683BB0 SCES-53054
8FE61CAD SCES-53310
91510857 SCES-50411
91A65EAE SCES-52124
93223BE4 SCES-51592
941BB7D9 SCES-50492
9C712FF0 SCES-50361
9F14CF3A SCES-51039
A0FCA9B7 SCES-52329
A2837592 SCES-51164
A39517AB SCES-50490
A595F752 SCES-50611
AAE9E301 SCES-50459
AE3EAA05 SCES-50969
B083CCC2 SCES-52330
B65AE44A SCES-50759
B74A2938 SCES-50959
BC5480A3 SCES-53312
BF513E01 SCES-51004
C040B6AB SCES-53851
C24621B8 SCES-52582
C3F83BD1 SCES-52410
C5A2A6E6 SCES-50293
D07E8F35 SCES-50001
D5AFDBA7 SCES-51920
D697D204 SCES-53285
D6A99F53 SCES-53358
DA3DD765 SCES-50917
E45821EC SCES-50522
E553C15B SCES-50241
E6A57677 SCES-51177
EB518B9F SCES-50982
EF710B2B SCES-50612
F48F994A SCES-50878
F5B07CC0 SCES-50600
F6950E96 SCES-53960
F6DC728D SCES-50968
F7DC0006 SCES-51706
FADEBC45 SCES-53328
FB0E6D72 SCES-53133
FDA1CBF6 SCES-52529
FDD8F47E SCES-52327

03F9539F SLES-54711 
05177ECE SLES-53908 
093E7D52 SLES-82009 
144CC35B SLES-52002 
167A484D SLES-82030 
18C9343F SLES-54186 
1DE8E946 SLES-53870 
22E91837 SLES-50821 
23B754F4 SLES-53825 
26420115 SLES-53154 
26A6E286 SLES-82046 
433A82D4 SLES-54156 
47166C2F SLES-54163 
4A9D8E01 SLES-50672 
4C4D7072 SLES-53007 
54AD76D7 SLES-51227 
694CCF47 SLES-52706 
69640884 SLES-55482 
6B149273 SLES-50382 
75BECC18 SLES-52584 
78DA0252 SLES-54354 
7ADCB24A SLES-53038 
7D8F539A SLES-50358 
81C67E91 SLES-52535 
891F223F SLES-54439 
8A5C25A7 SLES-82048 
8A6875C4 SLES-50714 
8AEE00C6 SLES-51069 
8AF9A6A5 SLES-53480 
8B0725D5 SLES-54473 
8B1353FA SLES-53338 
8B61D18D SLES-52571 
8BDD5892 SLES-51713 
8C8E2877 SLES-51358 
8C913264 SLES-55380 
8C9576B4 SLES-54627 
8DC64680 SLES-50279 
8DF14A24 SLES-54165 
8E0C5071 SLES-50935 
8E613144 SLES-51956 
8E8BB571 SLES-54097 
8ED1E558 SLES-55398 
8EF3DDFC SLES-50110 
8F1DB793 SLES-52065 
8F969858 SLES-52001 
8F96D103 SLES-53539 
8FDE8E16 SLES-51285 
901F82B1 SLES-52781 
904A1774 SLES-51157 
904A9089 SLES-54583 
904B7BA0 SLES-51554 
90C5D585 SLES-53237 
90CF49CA SLES-52523 
91100045 SLES-54483 
91202475 SLES-50077 
912C8E55 SLES-53374 
916AE593 SLES-52062 
928F63CD SLES-51735 
92ABE4E1 SLES-51481 
92EA9EF0 SLES-53200 
933ECA90 SLES-52525 
945301BE SLES-51345 
95416482 SLES-50061 
95DDD361 SLES-53936 
95E985AA SLES-53004 
960FFA6A SLES-51354 
961A5702 SLES-53594 
9637D496 SLES-53645 
96B76E56 SLES-51495 
96E46AA0 SLES-50017 
973793E8 SLES-52179 
973E4DBB SLES-55169 
977116A5 SLES-52951 
9771C478 SLES-52017 
979F5102 SLES-50371 
97AE372A SLES-50109 
9817C177 SLES-50620 
98317385 SLES-54817 
9867FA17 SLES-52240 
989192FE SLES-51011 
98BE10F8 SLES-53819 
98D4BC93 SLES-82013 
98E77EBE SLES-53920 
99AD19EE SLES-53155 
99D51FA8 SLES-54913 
9A03A3DB SLES-53157 
9A206BA3 SLES-52451 
9A26910A SLES-54157 
9AAC5309 SLES-51817 
9AAC530C SLES-51816 
9AAC530D SLES-51817 
9ABF90FB SLES-51256 
9B1EE9EB SLES-50202 
9B23B5F1 SLES-51038 
9B89F425 SLES-52964 
9BA3712B SLES-51162 
9C0F01BD SLES-51244 
9C11C258 SLES-50619 
9C593C78 SLES-53971 
9C5C1478 SLES-53967 
9C8C770A SLES-51916 
9CBB7B0F SLES-54669 
9CD9C449 SLES-54087 
9D395452 SLES-51636 
9D443C69 SLES-53564 
9D6AA1B8 SLES-55016 
9D87F3AF SLES-52384 
9DD290E2 SLES-51125 
9E0FC9A1 SLES-55589 
9E74A685 SLES-54545 
9F185CE1 SLES-82046 
9F45265C SLES-51208 
A03898F9 SLES-52448 
A038AAC7 SLES-55371 
A0600111 SLES-50481 
A0B1D94A SLES-54161 
A0ED2D23 SLES-50874 
A1021ADC SLES-50641 
A1B3F232 SLES-52541 
A1B752C7 SLES-53810 
A1B8DAC8 SLES-52190 
A1FD63D6 SLES-52641 
A2316D03 SLES-53398 
A2BB25B3 SLES-51371 
A2DD109B SLES-51223 
A38C6B77 SLES-53812 
A3ED2B3D SLES-53386 
A422BB13 SLES-54945 
A4E8C610 SLES-50769 
A51F0FED SLES-55511 
A5BF36A8 SLES-50212 
A5DA4B36 SLES-53399 
A629A376 SLES-54674 
A630B37E SLES-50383 
A64DA833 SLES-54462 
A6CF1D2B SLES-53574 
A6F234C7 SLES-50355 
A75BD67E SLES-50796 
A7705A52 SLES-51466 
A77A916D SLES-50862 
A7E712FD SLES-50278 
A816B282 SLES-54878 
A8505479 SLES-53319 
A8A7A42A SLES-55673 
A8D651D2 SLES-51235 
A90A973D SLES-54343 
A9360C6D SLES-51840 
A97C9BFD SLES-55001 
A98B5B22 SLES-54587 
A9908033 SLES-50120 
A991D167 SLES-50210 
A9CEBBC7 SLES-55376 
A9E852B1 SLES-50479 
AA3F4F82 SLES-52988 
AA40FD87 SLES-51523 
AA42AD50 SLES-51662 
AA5725B5 SLES-52534 
AA869E3B SLES-52766 
AA91DEA8 SLES-52824 
AA930DAA SLES-54590 
AAA40B75 SLES-51756 
AAE3849F SLES-54626 
AB75D540 SLES-53739 
AB82114E SLES-52149 
ABE3FDEA SLES-53826 
AC4B758C SLES-53527 
AC7E88D9 SLES-50193 
ACB1989A SLES-51054 
AD18AE4F SLES-53091 
AD5A2FBC SLES-50231 
AD8A8599 SLES-51089 
ADDFF505 SLES-53886 
ADEFE7CB SLES-55365 
AE01AADB SLES-50836 
AE0DE7B7 SLES-53363 
AE28C9C7 SLES-55024 
AEC2D949 SLES-54670 
AF1CACC7 SLES-50898 
AF399CCC SLES-51758 
AFBA3846 SLES-50080 
AFCAEC88 SLES-51308 
AFFB8141 SLES-54628 
B02C81E5 SLES-54021 
B0621C55 SLES-53408 
B112BD24 SLES-53940 
B18DC525 SLES-53728 
B194D815 SLES-53595 
B1995E29 SLES-52950 
B1A38C05 SLES-53820 
B1C27A19 SLES-51924 
B1C7FED2 SLES-53696 
B2367FD0 SLES-55192 
B2408080 SLES-53194 
B29E5362 SLES-51959 
B39E7D13 SLES-54489 
B3AD1EA4 SLES-54622 
B42446DC SLES-51980 
B440A8FE SLES-52541 
B474FE44 SLES-51663 
B4B7A5A1 SLES-50703 
B5A7735B SLES-52237 
B5E40DA3 SLES-50068 
B6CA0C9B SLES-54818 
B6FD779E SLES-51606 
B74C378E SLES-50730 
B7911069 SLES-52592 
B7BA39A1 SLES-50220 
B7CF071A SLES-51950 
B8435BF4 SLES-54007 
B84660A2 SLES-51160 
B860F5B6 SLES-53052 
B8B74173 SLES-51057 
B90470B8 SLES-52567 
B90A79B4 SLES-54792 
B9254C98 SLES-50510 
B9A91CA8 SLES-50613 
BA246DD0 SLES-52940 
BA248FC3 SLES-50366 
BA568F6B SLES-53407 
BA7CAA90 SLES-50710 
BAB34A26 SLES-51232 
BAC92C25 SLES-53546 
BADBA2C8 SLES-51081 
BAEEE480 SLES-52957 
BAFCDA66 SLES-50397 
BB16599F SLES-51843 
BB2CF62F SLES-52173 
BBAB0D9A SLES-50892 
BBAE448F SLES-52882 
BBB8392E SLES-53667 
BBDCE560 SLES-51189 
BBF8C3D6 SLES-53414 
BC897AC9 SLES-53521 
BCAD1E8A SLES-52150 
BD2818EA SLES-50155 
BDE7D749 SLES-52467 
BE0CAF70 SLES-51896 
BE2213F9 SLES-53201 
BE388588 SLES-50039 
BE69820A SLES-54033 
BEBC87B1 SLES-50498 
BF0D1E1A SLES-52047 
BF0DC4CE SLES-53014 
BFDF7C5A SLES-53544 
C0252617 SLES-52710 
C02E2360 SLES-53192 
C071D4C1 SLES-55605 
C0A963DB SLES-50314 
C0EE68EC SLES-50947 
C124F105 SLES-53587 
C29C4AEA SLES-54675 
C33DEDD7 SLES-54918 
C365B25F SLES-52034 
C398F477 SLES-54233 
C39FF377 SLES-54232 
C3ADE1C8 SLES-54566 
C3BE8BAB SLES-51998 
C3BF2BE4 SLES-50715 
C46D7708 SLES-52747 
C488EC04 SLES-53570 
C49AD6F8 SLES-55658 
C4ACBCF0 SLES-53075 
C5B61685 SLES-50051 
C5DBDB45 SLES-51877 
C5EBD545 SLES-52693 
C5F0D1A5 SLES-51055 
C5FD7217 SLES-53828 
C698846E SLES-50558 
C6D4771F SLES-52521 
C7201C26 SLES-55635 
C72FEF17 SLES-52685 
C7375C85 SLES-53017 
C7591F3F SLES-50053 
C76031E8 SLES-54510 
C78A495D SLES-53561 
C7993BCC SLES-53900 
C82BB39E SLES-51284 
